,AGEP_x,DEAR_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,DEAR_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,INDP_y,NOC_y,NPF_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,percent_match
37,58,2,2,2,2,N,11,0,1,7270,10,4,0,N,1,200000.0,9,501,08-00803,1,2,71,2,2,2,2,N,1,7270,0,N,187000.0,9,501,84.61538461538461
38,45,2,2,2,2,N,9,0,1,8191,12,1,0,2,1,58000.0,7,501,08-00803,1,1,57,2,2,2,2,N,1,8290,0,3,52000.0,6,371,53.84615384615385
39,27,2,2,2,2,N,7,0,1,9680,17,1,0,2,2,120000.0,9,501,30-00600,1,1,35,2,2,1,1,5,1,9670,0,2,36320.0,6,218,38.46153846153847
40,64,2,2,2,2,N,3,0,1,4770,6,4,0,N,2,30000.0,5,245,06-07502,6,1,52,2,2,2,2,N,1,5470,0,4,0.0,0,308,53.84615384615385
41,86,2,1,1,2,N,8,0,1,8080,12,6,0,N,2,9000.0,2,67,51-51255,1,2,25,2,2,2,2,N,1,8191,0,N,52000.0,6,393,46.15384615384615
42,69,2,2,1,2,N,1,0,3,N,N,6,N,N,0,9400.0,2,74,36-04010,1,1,69,2,2,2,1,N,3,N,N,N,13800.0,3,114,61.53846153846154
43,53,2,2,2,2,N,10,0,1,8680,14,6,0,N,2,34600.0,5,266,17-03529,2,1,30,2,2,2,2,N,1,8561,0,N,9000.0,2,68,61.53846153846154
44,59,2,2,2,2,N,7,0,1,770,3,4,0,N,1,16000.0,4,120,01-01301,2,1,53,2,2,2,2,N,1,770,0,2,0.0,0,0,61.53846153846154
45,53,2,2,2,2,N,4,0,1,7970,12,4,0,3,2,68000.0,7,501,36-03710,2,2,61,2,2,2,2,N,1,8191,0,N,38900.0,5,297,53.84615384615385
46,54,2,2,2,2,N,9,0,1,2070,4,1,0,3,1,65000.0,8,501,28-01100,1,2,54,2,2,2,2,N,1,2070,0,2,148000.0,9,501,76.92307692307693
47,47,2,2,2,2,N,5,0,1,7690,10,1,0,3,2,72140.0,8,501,17-03529,2,2,57,2,2,2,2,N,1,7690,0,5,22200.0,4,501,69.23076923076923
48,24,2,2,2,2,N,8,0,1,9290,15,6,4,5,2,7300.0,2,381,13-04600,2,2,26,2,2,2,2,N,1,8980,2,3,10100.0,2,49,53.84615384615385
49,47,2,2,2,2,N,8,0,1,6170,7,3,0,N,1,30100.0,4,228,38-00100,1,1,72,2,2,2,2,N,1,6370,0,2,25000.0,4,364,61.53846153846154
50,7,2,2,2,2,N,3,1,1,N,N,N,2,4,2,N,N,88,36-03710,1,1,14,2,2,2,2,N,1,N,2,3,N,N,488,76.92307692307693
51,54,2,2,2,2,N,5,0,1,6490,8,1,0,2,1,62000.0,8,501,19-01700,1,2,38,2,2,2,2,N,1,6672,0,2,0.0,0,439,61.53846153846154
52,42,2,2,2,2,N,9,0,1,7380,10,6,0,N,2,16000.0,3,122,26-02702,9,2,22,2,2,2,2,N,1,7380,0,N,10000.0,2,76,69.23076923076923
53,47,2,2,2,2,N,7,0,2,7270,10,4,N,N,0,3500.0,1,N,40-00200,3,1,45,1,2,2,2,N,2,7270,N,N,14400.0,3,N,69.23076923076923
54,48,2,2,2,2,N,7,0,1,6890,9,6,0,3,2,75000.0,8,501,36-04010,2,2,48,2,2,2,2,N,1,6890,0,N,9000.0,2,68,69.23076923076923
55,31,2,2,2,2,N,10,0,1,2190,4,1,0,2,2,57000.0,7,477,29-01901,1,2,25,2,2,2,2,N,1,2190,0,2,13010.0,3,138,69.23076923076923
56,94,1,2,1,1,N,4,0,2,N,N,3,N,N,0,12000.0,3,N,28-01100,1,2,87,2,2,1,1,N,3,N,N,N,8000.0,2,66,53.84615384615385
57,27,2,2,2,2,N,10,0,1,6870,9,6,0,2,1,70100.0,8,501,28-01100,1,2,28,2,2,2,2,N,1,6870,0,2,70100.0,8,501,92.3076923076923
58,26,2,1,2,2,N,6,0,1,8090,12,6,0,2,1,60000.0,8,440,40-00200,1,1,48,2,2,1,1,N,1,8170,0,3,12800.0,3,63,30.76923076923077
59,32,2,2,2,2,N,9,1,1,8564,14,6,0,5,1,16800.0,3,501,08-00803,1,2,31,2,2,2,2,N,1,8564,0,5,15000.0,3,501,84.61538461538461
60,55,2,2,2,2,N,9,0,1,8080,12,1,0,3,1,49000.0,7,501,29-01901,1,2,31,2,2,2,2,N,1,8191,0,2,60000.0,8,501,61.53846153846154
61,43,2,2,2,1,N,9,0,1,8680,14,6,0,4,1,11500.0,2,501,08-00803,1,1,22,2,2,2,2,N,1,8670,0,4,2500.0,1,501,61.53846153846154
62,3,2,2,N,N,N,1,2,1,N,N,N,2,4,2,N,N,147,24-01004,9,2,3,2,2,N,N,N,1,N,2,4,N,N,311,92.3076923076923
63,9,2,2,2,2,N,3,0,1,N,N,N,0,3,2,N,N,168,38-00100,5,2,6,2,2,2,2,N,1,N,2,5,N,N,96,69.23076923076923
64,43,2,2,2,2,N,7,0,1,8660,14,1,2,5,1,20200.0,4,501,06-08507,6,2,66,2,2,2,2,N,1,8680,0,2,1700.0,1,61,46.15384615384615
65,16,2,2,2,2,N,4,0,1,5090,6,6,5,8,2,9800.0,1,96,38-00100,5,1,16,1,2,2,2,N,1,5090,2,5,6000.0,1,96,69.23076923076923
66,24,2,2,1,2,N,9,0,1,N,N,6,0,N,2,26100.0,4,204,17-03529,6,2,70,2,2,2,2,N,1,N,0,N,0.0,0,0,61.53846153846154
67,28,2,2,2,2,N,9,0,1,6890,9,6,0,N,2,60000.0,6,456,24-01004,1,1,50,2,2,2,2,N,1,7071,0,N,68400.0,7,501,61.53846153846154
68,35,2,2,2,2,N,10,0,1,590,2,1,2,4,1,41000.0,6,324,17-03531,2,2,34,2,2,2,2,N,1,590,0,2,70000.0,8,501,53.84615384615385
69,41,2,2,2,2,N,9,1,1,N,N,1,1,3,1,0.0,0,105,40-00200,1,2,41,2,2,2,2,N,1,N,2,4,0.0,0,188,76.92307692307693
70,21,2,2,2,2,N,7,0,1,8570,14,6,0,3,1,4500.0,1,273,19-01700,1,2,27,2,2,2,2,N,1,8680,0,3,35000.0,5,501,61.53846153846154
71,66,2,2,1,2,N,10,0,1,N,N,3,0,N,2,97000.0,9,501,29-01901,1,2,87,2,2,2,2,N,1,N,0,N,12000.0,3,98,61.53846153846154
72,54,2,2,2,2,N,5,0,1,8370,13,1,0,4,2,6000.0,2,501,36-04010,2,2,60,2,2,2,2,N,1,8470,0,2,42300.0,6,501,61.53846153846154
73,37,2,2,2,2,N,10,0,1,N,N,4,1,4,1,0.0,0,40,36-03710,1,1,33,2,2,2,2,N,1,N,0,2,250.0,1,286,53.84615384615385
74,30,2,2,2,2,N,7,0,1,6390,7,6,0,N,2,7500.0,2,56,29-01901,1,1,29,2,2,2,2,N,1,6290,0,N,36000.0,6,274,61.53846153846154
75,79,2,2,1,2,N,3,0,2,N,N,3,N,N,0,10600.0,2,N,29-01901,2,2,78,2,2,1,1,N,2,N,N,N,0.0,0,N,69.23076923076923
76,59,2,2,2,2,N,8,0,1,7860,11,6,0,2,2,32000.0,5,262,13-04600,2,2,59,2,2,2,2,N,1,7860,0,2,12000.0,3,71,76.92307692307693
77,68,2,2,2,2,N,12,0,1,9480,16,6,0,N,1,166000.0,9,501,24-01004,1,2,68,2,2,2,2,N,1,9480,0,2,169000.0,9,501,84.61538461538461
78,67,2,2,2,2,N,4,4,1,N,N,1,0,5,2,9800.0,2,436,36-03710,8,1,69,2,2,2,2,N,1,N,0,2,7000.0,2,107,69.23076923076923
79,61,2,2,2,2,N,10,0,1,7370,10,1,0,2,2,80200.0,8,501,26-02702,2,1,39,2,2,2,2,N,1,7380,0,2,100000.0,9,501,69.23076923076923
80,38,2,2,2,2,N,5,0,1,8090,12,1,0,5,2,36900.0,6,501,19-01700,1,2,40,2,2,2,2,N,1,8180,4,6,59600.0,8,207,46.15384615384615
81,46,2,2,2,2,N,9,4,1,9390,16,6,0,3,1,140000.0,9,501,24-01004,1,2,58,2,2,2,2,N,1,9490,0,2,21100.0,3,160,53.84615384615385
82,33,2,2,2,2,N,9,0,1,5593,6,6,0,3,2,0.0,0,54,01-01301,2,2,51,2,2,2,2,N,1,4870,0,2,65000.0,8,473,53.84615384615385
83,58,2,2,2,2,N,5,0,1,770,3,3,0,2,1,10000.0,2,186,19-01700,1,1,58,2,2,2,2,N,1,770,0,2,39100.0,6,420,76.92307692307693
84,18,2,2,2,2,N,5,3,1,5391,6,6,0,2,2,0.0,0,310,32-00405,1,1,18,2,2,2,2,N,1,5391,0,2,2900.0,1,211,76.92307692307693
85,25,2,2,2,2,N,9,0,1,7460,10,6,0,N,2,27000.0,4,226,17-03529,2,1,23,2,2,2,2,N,1,7290,0,N,26000.0,4,198,69.23076923076923
86,48,2,2,2,2,N,12,0,1,7890,11,1,1,3,2,248400.0,9,501,26-02702,1,1,34,2,2,2,2,N,1,7870,2,4,58000.0,7,235,46.15384615384615
87,35,2,2,2,2,N,11,0,1,9170,15,1,1,3,2,122000.0,8,501,24-01004,1,2,38,2,2,2,2,N,1,9170,1,3,120000.0,8,501,84.61538461538461
88,40,2,2,2,2,N,10,0,1,6690,8,1,0,2,2,134000.0,9,501,06-08507,6,1,51,2,2,2,2,N,1,6490,1,4,159000.0,9,501,61.53846153846154
89,42,2,2,2,2,N,5,0,1,8370,13,1,0,2,2,20200.0,4,501,06-08507,6,2,35,2,2,2,2,N,1,8470,0,7,20000.0,4,255,61.53846153846154
90,37,2,2,2,1,5,9,4,1,7290,10,1,3,5,1,60000.0,7,387,51-51255,1,1,63,2,2,2,2,N,1,7380,0,3,166000.0,9,501,30.76923076923077
91,63,2,2,2,2,N,5,0,1,9590,16,1,1,4,2,940.0,1,8,30-00600,3,1,42,2,2,2,2,N,1,9480,3,6,42000.0,6,124,46.15384615384615
92,26,2,2,2,2,N,7,0,2,8680,14,6,N,N,0,1400.0,1,N,32-00405,2,2,25,2,2,2,2,N,2,8680,N,N,20000.0,4,N,76.92307692307693
93,25,2,2,2,2,N,9,0,1,6880,9,1,0,4,1,110000.0,9,501,13-04600,2,2,72,2,2,2,2,N,1,6992,0,2,18500.0,4,158,53.84615384615385
94,21,2,2,2,1,N,7,0,1,8680,14,6,0,N,1,11000.0,2,83,32-00405,2,2,30,2,2,2,2,N,1,8660,1,3,20000.0,4,305,38.46153846153847
95,25,2,2,2,2,N,9,0,1,7071,9,6,0,4,1,32000.0,4,501,24-01004,6,1,23,2,2,2,2,N,1,7071,0,5,5000.0,1,501,69.23076923076923
96,4,2,2,N,N,N,1,0,1,N,N,N,4,6,1,N,N,501,51-51255,9,1,3,2,2,N,N,N,1,N,3,5,N,N,501,76.92307692307693
97,48,2,2,2,2,N,3,0,1,6190,7,1,1,3,1,75000.0,8,501,08-00803,1,1,48,2,2,2,2,N,1,6380,0,2,60000.0,7,501,61.53846153846154
98,41,2,2,2,2,N,9,0,1,370,1,1,2,4,1,22500.0,4,248,30-00600,1,2,38,2,2,2,2,N,1,380,2,5,66000.0,8,344,53.84615384615385
99,68,2,2,2,2,N,12,0,1,8564,14,1,0,3,1,138500.0,9,501,24-01004,1,1,75,2,2,2,2,N,1,8590,0,2,243000.0,9,501,69.23076923076923
100,7,2,2,2,2,N,2,0,1,N,N,N,0,3,2,N,N,194,38-00100,3,2,5,2,2,2,2,N,1,N,2,5,N,N,265,69.23076923076923
101,31,2,2,2,2,N,10,0,1,8191,12,6,0,N,2,24000.0,4,182,26-02702,1,1,33,2,2,2,2,N,1,8191,0,N,45000.0,6,343,69.23076923076923
102,19,2,2,2,2,N,7,4,2,N,N,6,N,N,0,0.0,0,N,13-04600,9,2,19,2,2,2,2,N,3,N,N,N,0.0,0,N,92.3076923076923
103,49,2,2,2,2,N,3,0,1,9920,18,1,1,3,2,99000.0,8,487,06-07502,6,2,48,2,2,2,2,N,1,9920,1,3,0.0,0,127,69.23076923076923
104,20,2,2,2,2,N,6,1,1,8680,14,6,1,4,2,6000.0,1,158,32-00405,8,2,43,2,2,2,2,N,1,8570,1,2,12580.0,2,72,53.84615384615385
105,73,2,2,2,2,N,9,0,1,8380,13,1,0,2,2,10000.0,2,501,30-00600,1,2,72,2,2,2,2,N,1,8380,0,2,10700.0,2,189,76.92307692307693
106,20,2,2,2,2,N,8,0,1,8370,13,6,3,6,1,8200.0,2,501,38-00100,1,2,41,2,2,2,2,N,1,8370,2,3,34000.0,5,314,53.84615384615385
107,24,2,2,2,2,N,7,0,1,5275,6,6,0,N,2,26000.0,5,209,40-00200,1,2,24,2,2,1,2,N,1,4795,0,N,6500.0,2,48,61.53846153846154
108,56,2,2,2,2,N,10,0,1,9160,15,1,0,2,1,31000.0,5,501,19-01700,1,1,39,2,2,2,2,N,1,9160,2,4,288000.0,9,501,61.53846153846154
109,72,2,2,2,2,N,5,0,1,N,N,1,3,7,1,6000.0,2,501,06-08507,1,1,85,2,2,1,1,N,1,N,0,2,16800.0,3,210,38.46153846153847
110,17,2,2,2,2,N,5,4,1,N,N,6,2,4,2,0.0,0,170,51-01301,1,1,25,2,2,2,2,N,1,N,0,N,0.0,0,0,69.23076923076923
111,55,2,2,2,2,N,4,4,1,8660,14,1,0,7,1,22000.0,4,197,32-00405,8,2,54,2,2,2,2,N,1,8660,0,8,42800.0,6,366,61.53846153846154
112,82,2,2,1,1,N,7,0,1,N,N,4,0,N,2,9600.0,2,78,19-01700,2,2,82,2,2,1,1,N,1,N,0,N,12200.0,2,101,84.61538461538461
113,60,2,2,2,2,N,7,4,1,8470,13,5,2,4,2,13500.0,3,66,36-03710,8,2,47,2,2,2,2,N,1,8470,1,3,11500.0,2,56,53.84615384615385
114,64,2,2,2,2,N,9,0,1,6290,7,1,0,3,1,225000.0,9,501,24-01004,1,1,48,2,2,2,2,N,1,6190,0,2,55000.0,6,501,61.53846153846154
115,15,2,2,2,2,N,4,1,1,N,N,6,1,2,2,0.0,0,183,51-01301,8,1,15,2,2,2,2,N,1,N,1,2,0.0,0,229,92.3076923076923
116,59,2,2,2,2,N,5,0,1,8270,12,1,0,2,1,10200.0,3,146,40-00200,3,2,55,2,2,2,2,N,1,8090,0,2,22000.0,4,501,61.53846153846154
117,50,2,2,2,2,N,4,0,1,5381,6,6,0,2,2,20000.0,5,159,28-01100,2,2,21,2,2,2,2,N,1,5391,0,3,8100.0,2,112,53.84615384615385
118,20,2,2,2,2,N,9,0,1,5170,6,6,0,N,2,32000.0,5,241,28-01100,1,2,21,2,2,2,2,N,1,5080,0,N,1200.0,1,9,61.53846153846154
119,18,2,2,2,2,N,5,0,3,N,N,6,N,N,0,0.0,0,N,08-00803,1,1,18,2,2,2,2,N,3,N,N,N,0.0,0,N,100.0
120,16,2,1,2,2,N,4,0,1,9920,18,6,5,7,2,1000.0,1,113,28-01100,2,2,16,2,2,2,2,N,1,9920,3,5,0.0,0,200,53.84615384615385
121,76,2,2,2,2,N,9,0,1,8564,14,3,0,N,1,352000.0,9,501,24-01004,1,2,76,2,2,2,2,N,1,8564,0,N,161200.0,9,501,92.3076923076923
122,9,2,2,2,2,N,3,1,1,N,N,N,3,6,1,N,N,196,40-00200,1,2,12,2,2,2,2,N,1,N,2,4,N,N,196,76.92307692307693
123,68,2,2,1,2,N,12,0,1,N,N,1,0,2,2,0.0,0,130,29-01901,1,1,68,2,2,2,2,N,1,N,0,2,84000.0,9,501,69.23076923076923
124,67,2,2,2,2,N,10,0,1,8180,12,4,0,N,1,46900.0,6,388,51-51255,1,2,38,2,2,2,2,N,1,8290,0,N,81500.0,8,501,61.53846153846154
125,54,2,2,2,2,N,5,0,1,2280,4,6,0,N,2,79000.0,8,501,19-01700,1,1,19,2,2,2,2,N,1,2380,0,3,10100.0,2,241,53.84615384615385
126,52,2,2,2,2,N,5,0,1,7870,11,1,1,3,1,23000.0,4,501,17-03529,2,2,50,2,2,2,2,N,1,7860,2,5,40000.0,6,168,46.15384615384615
127,74,2,2,2,2,N,12,0,1,3580,4,1,0,2,1,127000.0,9,501,51-51255,1,1,62,2,2,2,2,N,1,3291,0,3,112200.0,8,501,61.53846153846154
128,32,2,2,2,2,N,8,0,1,1290,4,6,0,N,1,45000.0,6,341,19-01700,1,2,21,2,2,2,2,N,1,3960,0,3,21370.0,4,501,53.84615384615385
129,35,2,2,2,2,N,9,0,1,6870,9,1,1,3,1,160000.0,9,501,29-01901,1,1,64,2,2,2,2,N,1,6992,0,2,493500.0,9,501,61.53846153846154
130,0,2,2,N,N,N,N,0,1,N,N,N,0,6,2,N,N,501,06-08507,6,2,0,2,2,N,N,N,1,N,2,4,N,N,430,76.92307692307693
131,41,2,2,2,2,N,4,0,1,2370,4,6,0,N,2,10000.0,2,76,01-01301,2,1,44,2,2,2,2,N,1,1280,0,3,9300.0,2,61,61.53846153846154
132,35,2,2,2,2,N,9,0,1,8170,12,6,0,N,1,60010.0,7,456,13-04600,2,2,74,2,2,2,2,N,1,8170,0,2,86500.0,8,501,61.53846153846154
133,3,2,2,N,N,N,2,0,1,N,N,N,0,12,2,N,N,37,38-00100,9,1,6,1,2,2,2,N,1,N,2,3,N,N,132,46.15384615384615
134,39,2,2,2,2,N,12,0,1,9570,16,1,1,3,2,117300.0,8,501,24-01004,1,1,35,2,2,2,2,N,1,9480,0,2,138000.0,9,501,53.84615384615385
135,64,2,2,2,2,N,9,0,1,180,0,2,0,N,1,16700.0,3,132,30-00600,1,1,55,2,2,2,2,N,1,180,0,N,-5100.0,0,0,69.23076923076923
136,54,2,2,2,2,N,11,0,1,7870,11,1,0,2,2,111900.0,9,501,32-00405,1,2,47,2,2,2,2,N,1,7870,1,3,150000.0,9,501,69.23076923076923
137,46,2,2,2,2,N,9,0,1,6180,7,6,4,6,1,31000.0,5,108,19-01700,1,2,35,2,2,2,2,N,1,6170,0,3,37000.0,6,501,46.15384615384615
138,39,2,2,2,2,N,8,0,1,8680,14,1,1,3,2,55000.0,6,263,24-01004,6,1,41,2,2,2,2,N,1,8680,1,3,23000.0,3,235,69.23076923076923
139,63,2,2,2,2,N,6,0,1,3570,4,1,0,3,1,0.0,0,158,29-01901,2,1,67,2,2,2,2,N,1,2770,0,2,36200.0,6,354,53.84615384615385
140,23,2,2,2,2,N,4,1,1,8770,15,6,0,3,2,6300.0,2,206,32-00405,8,1,22,2,2,2,2,N,1,8770,0,4,19200.0,3,339,61.53846153846154
141,25,2,2,2,2,N,4,4,2,N,N,6,N,N,0,9000.0,2,N,36-03710,2,1,18,2,2,2,2,N,2,N,N,N,0.0,0,N,76.92307692307693
142,9,2,2,2,2,N,1,4,1,N,N,N,1,3,2,N,N,447,38-00100,9,1,3,2,2,N,N,N,1,N,1,3,N,N,501,69.23076923076923
143,41,2,2,2,2,N,10,0,1,8290,12,1,2,4,2,312000.0,9,501,24-01004,6,2,40,2,2,2,2,N,1,7970,2,4,0.0,0,193,61.53846153846154
144,24,2,2,2,2,N,6,0,1,8290,12,6,0,N,1,45000.0,7,341,30-00600,1,2,24,2,2,2,2,N,1,8191,1,2,10000.0,2,57,53.84615384615385
145,25,2,2,2,2,N,9,0,1,8680,14,4,0,N,1,10000.0,2,75,30-00600,1,2,63,2,2,2,2,N,1,8680,0,N,14000.0,3,106,69.23076923076923
146,32,2,2,2,2,N,9,0,1,4580,5,4,0,2,1,90000.0,8,501,13-04600,2,1,47,2,2,2,2,N,1,4580,2,3,30000.0,5,147,53.84615384615385
147,27,2,2,2,2,N,12,0,1,7290,10,1,0,2,1,53200.0,7,501,19-01700,1,2,33,2,2,2,2,N,1,7270,0,2,65000.0,8,501,69.23076923076923
148,65,2,2,2,2,N,11,0,1,8270,12,6,0,3,1,139500.0,9,501,06-08507,1,2,29,2,2,2,2,N,1,7980,0,2,131020.0,9,501,69.23076923076923
149,68,2,2,1,2,N,1,0,1,7690,10,1,0,2,2,10600.0,2,129,06-07502,6,1,70,2,2,2,2,N,1,7780,0,2,7200.0,2,86,61.53846153846154
150,61,2,2,1,2,N,9,0,1,N,N,3,0,2,1,20000.0,4,370,32-00405,1,1,74,2,2,2,2,N,1,N,0,N,30000.0,5,246,53.84615384615385
151,54,1,2,2,1,N,6,0,2,N,N,4,N,N,0,1200.0,1,N,08-00803,1,1,53,1,2,2,1,N,3,N,N,N,0.0,0,0,61.53846153846154
152,29,2,2,2,2,N,9,0,1,7870,11,6,0,N,1,400.0,1,4,08-00803,1,1,29,2,2,2,2,N,1,7870,0,N,29000.0,4,221,76.92307692307693
153,50,2,2,2,2,N,10,0,1,7071,9,2,0,4,1,100000.0,8,462,06-08507,6,1,50,2,2,2,2,N,1,7071,0,4,30000.0,5,199,76.92307692307693
