,AGEP,DEAR,DENSITY,DEYE,DPHY,DREM,DVET,EDU,HISP,HOUSING_TYPE,INDP,INDP_CAT,MSP,NOC,NPF,OWN_RENT,PINCP,PINCP_DECILE,POVPIP,PUMA,PWGTP,WGTP
INDP,-0.1549,-0.0582,-0.0534,-0.0575,-0.07,-0.0675,-0.0585,-0.0882,-0.0554,-0.0596,0.0,-0.41,-0.1528,-0.0504,-0.0543,-0.055,-0.0605,-0.1478,-0.0557,-0.0593,-0.06,-0.0563
INDP_CAT,-0.1722,-0.0851,-0.0774,-0.0846,-0.0951,-0.094,-0.0861,-0.1109,-0.0819,-0.0862,-0.8821,0.0,-0.1725,-0.0746,-0.0771,-0.0814,-0.0815,-0.1659,-0.0774,-0.0771,-0.0776,-0.0752
MSP,-0.1901,-0.0261,-0.028,-0.0259,-0.0361,-0.034,-0.0269,-0.0583,-0.0275,-0.0273,-0.0903,-0.035,0.0,-0.0264,-0.0297,-0.0267,-0.0316,-0.1352,-0.0301,-0.0348,-0.041,-0.0376
NOC,-0.0613,-0.0107,-0.0201,-0.0092,-0.0114,-0.0113,-0.0106,-0.022,-0.0129,-0.069,-0.0733,-0.0227,-0.0312,0.0,-0.0836,-0.0761,-0.0289,-0.0237,-0.0351,-0.0342,-0.0381,-0.0609
NPF,-0.0352,-0.0131,-0.0236,-0.013,-0.0141,-0.0142,-0.014,-0.0264,-0.0164,-0.0606,-0.0908,-0.0251,-0.0233,-0.0799,0.0,-0.0654,-0.0317,-0.0259,-0.0361,-0.0374,-0.0392,-0.0498
OWN_RENT,-0.0307,-0.0099,-0.0182,-0.0096,-0.0109,-0.0107,-0.0105,-0.0215,-0.0135,-0.0582,-0.0716,-0.0232,-0.0182,-0.0763,-0.0282,0.0,-0.0272,-0.0212,-0.0314,-0.0359,-0.0364,-0.0482
PINCP,-0.1601,-0.0342,-0.0381,-0.0342,-0.0572,-0.0549,-0.0352,-0.0676,-0.0363,-0.0359,-0.1084,-0.046,-0.1533,-0.0352,-0.0379,-0.036,0.0,-0.2096,-0.0443,-0.0457,-0.0485,-0.0447
PINCP_DECILE,-0.1598,-0.0396,-0.0435,-0.0397,-0.0606,-0.0588,-0.0407,-0.0687,-0.0391,-0.0404,-0.1145,-0.0496,-0.1545,-0.0367,-0.039,-0.0381,-0.2915,0.0,-0.0445,-0.0564,-0.0494,-0.0464
POVPIP,-0.0384,-0.0088,-0.0214,-0.0085,-0.0096,-0.0099,-0.0097,-0.0255,-0.0128,-0.0311,-0.0997,-0.0277,-0.018,-0.027,-0.0308,-0.0144,-0.1242,-0.057,0.0,-0.0394,-0.0412,-0.0433
PUMA,-0.0333,-0.011,-0.1586,-0.0109,-0.0118,-0.0118,-0.0119,-0.0242,-0.0155,-0.0117,-0.0921,-0.0242,-0.0171,-0.021,-0.0265,-0.0129,-0.0307,-0.0227,-0.0287,0.0,-0.037,-0.0378
PWGTP,-0.0207,-0.0026,-0.0082,-0.0025,-0.0031,-0.003,-0.0035,-0.013,-0.0049,-0.0028,-0.0712,-0.0132,-0.0081,-0.0078,-0.0097,-0.0034,-0.0188,-0.0123,-0.0148,-0.0172,0.0,-0.0287
WGTP,-0.0305,-0.0129,-0.0198,-0.0128,-0.0138,-0.0134,-0.0138,-0.0244,-0.0157,-0.0599,-0.0813,-0.0235,-0.0202,-0.0712,-0.0256,-0.0632,-0.0288,-0.023,-0.0243,-0.0304,-0.0468,0.0
